シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,予算年度,会計区分,会計,勘定,予算種別,所管,組織・勘定,項,目,歳出予算項目の補足情報,予算額（歳出予算項目ごと）,翌年度要求額（歳出予算項目ごと）,備考（歳出予算項目ごと）
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,2024,一般会計,一般会計,,当初予算,,,,,,0,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,2023,一般会計,一般会計,,当初予算,,,,,,0,0,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,2022,一般会計,一般会計,,当初予算,,,,,,0,0,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,2021,一般会計,一般会計,,予備費等1,,,,,予備費等1,13916000000,,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2024,一般会計,一般会計,,前年度から繰越し,,,,,,8260000,,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2024,一般会計,一般会計,,当初予算,法務省,法務本省,司法制度改革推進費,庁費,,7070000,21304000,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2024,一般会計,一般会計,,当初予算,法務省,法務本省,司法制度改革推進費,諸謝金,,1638000,1648000,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2024,一般会計,一般会計,,当初予算,法務省,法務本省,司法制度改革推進費,職員旅費,,2116000,1547000,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2024,一般会計,一般会計,,当初予算,法務省,法務本省,司法制度改革推進費,委員等旅費,,345000,345000,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2023,一般会計,一般会計,,第1次補正予算,,,,,第１次補正予算,8260000,,
