シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,事業に関連するKPIが定められている閣議決定等の名称,事業に関連するKPIが定められている閣議決定等の該当箇所,事業に関連するKPIが定められている閣議決定等のURL,アクティビティ・アウトプット・アウトカムの番号,種別（アクティビティ・アウトプット・アウトカム）,アウトカムの期間,成果目標の種類,アクティビティ／活動目標／成果目標,活動指標／成果指標,単位,改善の上向き／下向き,成果実績及び目標値の根拠として用いた統計・データ名（出典）,定性的なアウトカム目標を設定している理由,定性的なアウトカムに関する成果実績,目標年度／目標値／実績値／達成率,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,,,1,アクティビティ,,,統合・集約化対象システムの計画的な利用終了を支援する。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,,,2,アクティビティ,,,政府情報システムを対象にITリソース・共通的機能等を提供し、運用・保守の実施における品質を維持して安定運用を行う。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,,,10,アウトプット,,,統合・集約化対象システムに対する利用終了支援の実施,統合・集約化対象システムへの利用終了支援完了件数,件,,,,,1.目標年度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,,,10,アウトプット,,,統合・集約化対象システムに対する利用終了支援の実施,統合・集約化対象システムへの利用終了支援完了件数,件,,,,,2.目標値,,,,,,,,,,,,,,,25,28,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,,,10,アウトプット,,,統合・集約化対象システムに対する利用終了支援の実施,統合・集約化対象システムへの利用終了支援完了件数,件,,,,,3.実績値,,,,,,,,,,,,,,,25,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,,,10,アウトプット,,,統合・集約化対象システムに対する利用終了支援の実施,統合・集約化対象システムへの利用終了支援完了件数,件,,,,,4.達成率,,,,,,,,,,,,,,,100,100,95.2381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,,,20,アウトプット,,,政府情報システムの利用に支障が出ないよう、運用・保守の実施における品質を維持する,運用実施計画（WBS）の進捗率（％）,％,,,,,1.目標年度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,,,20,アウトプット,,,政府情報システムの利用に支障が出ないよう、運用・保守の実施における品質を維持する,運用実施計画（WBS）の進捗率（％）,％,,,,,2.目標値,,,,,,,,,,,,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,,,20,アウトプット,,,政府情報システムの利用に支障が出ないよう、運用・保守の実施における品質を維持する,運用実施計画（WBS）の進捗率（％）,％,,,,,3.実績値,,,,,,,,,,,,,,,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,,,20,アウトプット,,,政府情報システムの利用に支障が出ないよう、運用・保守の実施における品質を維持する,運用実施計画（WBS）の進捗率（％）,％,,,,,4.達成率,,,,,,,,,,,,,,,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,,,11,アウトカム,3.長期,定量的,全統合・集約化対象システムの利用終了,統合・集約化対象システムの利用終了件数,件,上がると良い指標,第一期PFプロジェクト計画書,,,1.目標年度,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,,,11,アウトカム,3.長期,定量的,全統合・集約化対象システムの利用終了,統合・集約化対象システムの利用終了件数,件,上がると良い指標,第一期PFプロジェクト計画書,,,2.目標値,,,,,,,,,,,,,,,25,28,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,,,11,アウトカム,3.長期,定量的,全統合・集約化対象システムの利用終了,統合・集約化対象システムの利用終了件数,件,上がると良い指標,第一期PFプロジェクト計画書,,,3.実績値,,,,,,,,,,,,,,,25,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,,,11,アウトカム,3.長期,定量的,全統合・集約化対象システムの利用終了,統合・集約化対象システムの利用終了件数,件,上がると良い指標,第一期PFプロジェクト計画書,,,4.達成率,,,,,,,,,,,,,,,100,100,95.2381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,,,21,アウトカム,3.長期,定量的,第一期PFの安定稼働,第一期PFの稼働率（％）,％,上がると良い指標,第一期PF運用・保守要領第一期PFプロジェクト計画書,,,1.目標年度,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,,,21,アウトカム,3.長期,定量的,第一期PFの安定稼働,第一期PFの稼働率（％）,％,上がると良い指標,第一期PF運用・保守要領第一期PFプロジェクト計画書,,,2.目標値,,,,,,,,,,,,,,,99.99,99.99,99.99,99.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
