シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,番号（政策・施策）,政策所管府省庁_P,政策,施策,政策・施策URL,番号（根拠法令）,法令名,法令番号,法令ID,条,項,号・号の細分,番号（関係する計画・通知等）,計画通知名,計画通知等URL
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,1,デジタル庁,情報通信技術等の適正・効率化に関する施策の推進,情報通信技術等の適正・効率化に関する施策,https://www.digital.go.jp/policies/assessment/,1,デジタル庁設置法,令和三年法律第三十六号,503AC0000000036,第四条,2,第19号,1,「政府共通プラットフォーム整備計画」（2011.11.２CIO連絡会議決定）,https://warp.ndl.go.jp/info:ndljp/pid/12187388/www.kantei.go.jp/jp/singi/it2/cio/dai44/siryou1_1.pdf
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,1,法務省,Ⅰー２ 司法制度改革の成果の定着に向けた取組,（４） 法教育の推進,https://www.moj.go.jp/content/001436381.pdf,,,,,,,,1,「世界一安全な日本」創造戦略（平成25年12月10日閣議決定）「世界一安全な日本」創造戦略2022（令和4年12月20日閣議決定）,https://www.kantei.go.jp/jp/content/000119821.pdf
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,,,,,,,,,,,,2,司法制度改革推進計画（平成14年3月19日閣議決定）,https://www.courts.go.jp/about/sihou/kaikaku_keikaku/index.html
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,,,,,,,,,,,,3,消費者基本計画（令和7年3月18日閣議決定）,https://www.caa.go.jp/policies/policy/consumer_policy/basic_plan/
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,,,,,,,,,,,,4,消費者教育の推進に関する基本的な方針（平成25年6月28日閣議決定、令和5年3月28日変更）,https://www.caa.go.jp/policies/policy/consumer_education/consumer_education/basic_policy/
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,,,,,,,,,,,,5,第4次犯罪被害者等基本計画（令和3年3月30日閣議決定）,https://www.npa.go.jp/hanzaihigai/keikaku/kihon_keikaku.html
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,,,,,,,,,,,,6,第二次再犯防止推進計画（令和5年3月17日閣議決定）,https://www.moj.go.jp/hisho/saihanboushi/hisho04_00036.html
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,,,,,,,,,,,,7,経済財政運営と改革の基本方針2024（令和6年6月21日閣議決定）,https://www5.cao.go.jp/keizai-shimon/kaigi/cabinet/honebuto/honebuto-index.html
レビューシート,2025,1319,女性の人権の保護・促進のための国際協力推進に係る経費（令和７年度までの予算事業名は「国連人権条約体対日理解促進プログラム関連経費」）,17,外務省,外務省,総合外交政策局,,人権人道課,女性参画推進室,,,1,外務省,Ⅱ 分野別外交,１－８ 国際の平和と安定に対する取組（ジェンダー平等の実現に向けた国際協力の推進）,https://www.mofa.go.jp/mofaj/files/100545928.pdf,1,外務省設置法,平成十一年法律第九十四号,411AC0000000094,第四条,1,5,1,「日本再興戦略」改定2014,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,1,経済産業省,４ 情報処理の促進並びにサービス・製造産業の発展,ー,https://www.meti.go.jp/policy/policy_management/kihon-keikaku/r6fy_seisakuhyoukakihonkeikakukaisei.pdf,1,国立研究開発法人新エネルギー・産業技術総合開発機構法,平成十四年法律第百四十五号,414AC0000000145,第十五条,1,第2号、第3号及び第9号,1,○EBPMアクションプラン2024（令和６年12月26日）,https://www5.cao.go.jp/keizai-shimon/kaigi/minutes/2024/1226/shiryo_08.pdf
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,,,,,,2,科学技術・イノベーション創出の活性化に関する法律,平成二十年法律第六十三号,420AC0100000063,第二十七条の二,1,,2,○EBPMアクションプラン　進捗管理・点検・評価表2025（令和７年５月26日）,https://www5.cao.go.jp/keizai-shimon/kaigi/minutes/2025/0526_shiryo07.pdf
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,,,,,,,,,,,,,3,○デジタル時代の新たなIT政策大綱（令和元年６月７日高度情報通信ネットワーク社会推進戦略本部・官民データ活用推進戦略会議決定）,https://warp.ndl.go.jp/info:ndljp/pid/12187388/www.kantei.go.jp/jp/singi/it2/kettei/pdf/20190607/siryou1.pdf
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,,,,,,,,,,,,,4,○デフレ完全脱却のための総合経済対策（令和５年11月２日閣議決定）,https://www5.cao.go.jp/keizai1/keizaitaisaku/keizaitaisaku.html
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,,,,,,,,,,,,,5,○安心と成長の未来を拓く総合経済対策（令和元年12月５日閣議決定）,https://www5.cao.go.jp/keizai1/keizaitaisaku/keizaitaisaku.html
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,,,,,,,,,,,,,6,○成長戦略実行計画（令和３年６月18日閣議決定）,https://www.cas.go.jp/jp/seisaku/seicho/pdf/ap2021.pdf
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,,,,,,,,,,,,,7,○物価高克服・経済再生実現のための総合経済対策（令和４年10月28日閣議決定）,https://www5.cao.go.jp/keizai1/keizaitaisaku/keizaitaisaku.html
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,,,,,,,,,,,,,8,○第６期科学技術・イノベーション基本計画（令和３年３月26日閣議決定）,https://www8.cao.go.jp/cstp/kihonkeikaku/index6.html
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,,,,,,,,,,,,,9,○統合イノベーション戦略2020（令和２年７月17日閣議決定）,https://www8.cao.go.jp/cstp/tougosenryaku/2020.html
レビューシート,2025,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,1,財務省,２ 適正かつ公平な課税の実現,２－３ 酒類業の健全な発達の促進,https://www.mof.go.jp/about_mof/policy_evaluation/nta/fy2025/analysis/2025ntabunsekip.pdf,,,,,,,,1,・新しい資本主義のグランドデザイン及び実行計画2025改訂版（令和7年6月13日閣議決定）　等,
レビューシート,2025,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,,,,,,,,,,,,,2,・経済財政運営と改革の基本方針2025（令和7年6月13日閣議決定）,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,1,文部科学省,9 未来社会に向けた価値創出の取組と経済・社会的課題への対応,９－３ 健康・医療・ライフサイエンスに関する課題への対応,https://www.mext.go.jp/a_menu/hyouka/seido/mext_02761.html,1,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第九十一条,,,1,「第2期復興・創生期間」以降における東日本大震災からの復興の基本方針（令和3年3月19日閣議決定）,https://www.reconstruction.go.jp/topics/main-cat12/sub-cat12-1/20240329132430.html
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,2,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第九十七条,,,2,新産業創出等研究開発基本計画（令和４年８月26日内閣総理大臣決定）,https://www.reconstruction.go.jp/topics/main-cat1/sub-cat1-21/20220825110933.html
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,3,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第九十三条,,,3,福島国際研究教育機構が達成すべき研究開発等業務についての運営に関する目標（中期目標）（令和５年４月１日主務大臣指示）,https://www.reconstruction.go.jp/topics/main-cat1/sub-cat1-21/20230401070000.html
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,4,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第九十九条,,,4,福島国際研究教育機構の中期目標を達成するための計画（中期計画）（令和５年４月７日認可）,https://www.f-rei.go.jp/information_disclosure/
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,5,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第九十二条,,,5,福島国際研究教育機構基本構想（令和4年3月29日復興推進会議決定）,https://www.reconstruction.go.jp/topics/main-cat1/sub-cat1-21/20220331105753.html
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,6,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第九十五条,,,6,経済財政運営と改革の基本方針2022（令和4年6月7日閣議決定）,https://www5.cao.go.jp/keizai-shimon/kaigi/cabinet/honebuto/2022/decision0607.html
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,7,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第九十八条,,,7,統合イノベーション戦略2022（令和4年6月3日閣議決定）,https://www8.cao.go.jp/cstp/tougosenryaku/2022.html
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,8,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第九十六条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,9,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第九十四条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,10,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第九十条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,11,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百一条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,12,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百七条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,13,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百三条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,14,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百九条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,15,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百二十一条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,16,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百二十七条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,17,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百二十三条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,18,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百二十二条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,19,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百二十五条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,20,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百二十八条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,21,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百二十六条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,22,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百二十四条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,23,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百二十条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,24,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百二条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,25,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百五条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,26,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百八条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,27,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百六条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,28,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百十一条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,29,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百十七条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,30,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百十三条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,31,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百十九条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,32,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百十二条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,33,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百十五条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,34,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百十八条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,35,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百十六条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,36,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百十四条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,37,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百十条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,38,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百四条,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,39,福島復興再生特別措置法,平成二十四年法律第二十五号,424AC0000000025,第百条,,,,,
