シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,支出先ブロック番号,支出先ブロック名,支出先の数,事業を行う上での役割,ブロックの合計支出額,支出先名,法人番号,所在地,法人種別,その他支出先,支出先の合計支出額,契約概要,金額,契約方式等,具体的な契約方式等,入札者数,落札率,一者応札・一者応募又は競争性のない随意契約となった理由及び改善策（支出額10億円以上）,その他の契約
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,株式会社ＮＴＴデータほか,2,機器・ソフトウェア等の貸付,275973410 ,,,,,,,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,,,,,東京センチュリー株式会社,6010401015821 ,,,FALSE,44374900 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,,,,,東京センチュリー株式会社,6010401015821 ,,,FALSE,,第一期政府共通プラットフォームの整備に係る機器・ソフトウェア賃貸借（PF-Standard）の調達（平成24年度～平成30年度及び令和２年度導入済機器・ソフトウェアに係る令和５年度の賃貸借及び平成24年度～令和２年度導入済機器に係る令和６年度の撤去）,44374900 ,国庫債務負担行為等,,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,,,,,株式会社ＮＴＴデータ,6010601062093 ,,,FALSE,231598510 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,,,,,株式会社ＮＴＴデータ,6010601062093 ,,,FALSE,,第一期政府共通プラットフォームの整備に係る施設・設備賃貸借の調達（平成24年度～平成30年度整備済施設・設備に係る令和５年度の賃貸借及び平成24年度～平成31年度整備済施設・設備に係る令和６年度の賃貸借),231598510 ,国庫債務負担行為等,,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,B,株式会社ＮＴＴデータ,1,システム運用・保守,15017200 ,,,,,,,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,B,,,,,株式会社ＮＴＴデータ,6010601062093 ,,,FALSE,15017200 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,B,,,,,株式会社ＮＴＴデータ,6010601062093 ,,,FALSE,,政府共通プラットフォームの運用等の請負（令和５年度及び令和６年度）,15017200 ,国庫債務負担行為等,,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,株式会社ライズほか,21,庁舎管理等,156000572 ,,,,,,,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,その他,,,,TRUE,1379101 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,その他,,,,TRUE,,庁舎等に係る維持管理経費（窓ガラス清掃・清掃）,316304 ,その他,庁舎分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,その他,,,,TRUE,,令和６年度中央合同庁舎第２号館における入退館システム保守作業に係る請負,303000 ,随意契約（その他）,特命随意,1,,--,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,その他,,,,TRUE,,政府共通PF西日本拠点空調設備修理業務に係る請負,300000 ,随意契約（少額）,,2,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,その他,,,,TRUE,,庁舎等に係る維持管理経費（ゴンドラ保守）,148063 ,その他,合庁分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,その他,,,,TRUE,,庁舎等に係る維持管理経費（消火設備保守）,132630 ,その他,合庁分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,その他,,,,TRUE,,西日本拠点指静脈認証装置取り替え作業に係る請負,83000 ,随意契約（少額）,,1,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,その他,,,,TRUE,,庁舎等に係る維持管理経費（水道料）,38412 ,その他,合庁分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,その他,,,,TRUE,,西日本拠点電話料,37465 ,その他,その他(長期継続契約),,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,その他,,,,TRUE,,庁舎等に係る維持管理経費（エレベーター保守）,18378 ,その他,合庁分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,その他,,,,TRUE,,庁舎等に係る維持管理経費(塵芥処理),1849 ,その他,庁舎分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,その他,,,,TRUE,,大阪国際空港庁舎原状回復工事監理業務,0 ,一般競争契約（最低価格）,,2,81.7,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,ホーチキ株式会社,3010701008973 ,東京都品川区上大崎２丁目１０番４３号,301,FALSE,1226000 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,ホーチキ株式会社,3010701008973 ,東京都品川区上大崎２丁目１０番４３号,301,FALSE,,西日本拠点庁舎分担金（防災設備更新）,1226000 ,その他,合庁分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,三神工業株式会社,2140001007912 ,兵庫県神戸市中央区磯辺通２丁目１番１１号,301,FALSE,2137600 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,三神工業株式会社,2140001007912 ,兵庫県神戸市中央区磯辺通２丁目１番１１号,301,FALSE,,庁舎等に係る維持管理経費（空気調和設備その他工事）,2137600 ,その他,合庁分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,国土交通省航空局,2000012100001 ,,,FALSE,1363449 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,国土交通省航空局,2000012100001 ,,,FALSE,,西日本拠点国有財産土地使用料,1354591 ,その他,合庁分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,国土交通省航空局,2000012100001 ,,,FALSE,,西日本拠点国有財産建物使用料,8858 ,その他,合庁分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,宏電エテック株式会社,8120001079171 ,大阪府大阪市中央区南船場１丁目４番２７号,301,FALSE,514171 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,宏電エテック株式会社,8120001079171 ,大阪府大阪市中央区南船場１丁目４番２７号,301,FALSE,,西日本拠点庁舎分担金（電気設備保守）,514171 ,その他,合庁分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,株式会社ハヤシハウジング,6120101005806 ,,,FALSE,629640 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,株式会社ハヤシハウジング,6120101005806 ,,,FALSE,,令和６年度西日本拠点清掃作業,629640 ,随意契約（少額）,,2,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,株式会社ライズ,4120001177301 ,,,FALSE,107558000 ,,,,,,,,
