シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,支出先ブロック番号,支出先名,法人番号,契約概要,費目,使途,金額
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,株式会社ＮＴＴデータ,6010601062093,第一期政府共通プラットフォームの整備に係る施設・設備賃貸借の調達（平成24年度～平成30年度整備済施設・設備に係る令和５年度の賃貸借及び平成24年度～平成31年度整備済施設・設備に係る令和６年度の賃貸借),機器・ソフトウェア等借入,システムの機器・ソフトウェア等のリース経費,231598510
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,B,株式会社ＮＴＴデータ,6010601062093,政府共通プラットフォームの運用等の請負（令和５年度及び令和６年度）,システム運用・保守,システムの運用・保守作業を実施するための経費（変更を含む）,15017200
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,株式会社ライズ,4120001177301,大阪国際空港庁舎原状回復工事一式（機械設備改修工事・電気設備改修工事・建築／改修工事）,庁舎管理等,機械設備改修工事・電気設備改修工事・建築改修工事に係る経費,107558000
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,D,ＫＯＥＩ　ＪＡＰＡＮ株式会社,9020001034739,西日本拠点産業廃棄物の収集、運搬及／び処分の請負,データ消去・産廃処理等,データ消去及び廃棄物の収集・運搬及び処理のための経費,4344000
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,E,富士通株式会社,1020001071491,第一期政府共通プラットフォームの整備に係る機器・ソフトウェア賃貸借（PF-Standard）の調達（平成24年度～平成30年度及び令和２年度導入済機器・ソフトウェアに係る令和５年度の賃貸借並びに平成24年度～令和２年度導入済機器に係る令和６年度の賃貸借及び令和６年度の撤去）,機器・ソフトウェア等借入,システムの機器・ソフトウェア等のリース経費,22188000
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,株式会社ＮＴＴデータＳＭＳ,2010601032678,政府共通プラットフォームの運用等の請負（令和５年度及び令和６年度）,システム運用・保守,システムの運用・保守作業を実施するための経費（変更を含む）,3423000
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,G,日本メックス株式会社,6010001062545,令和６年度建物設備維持管理業務,施設管理費,拠点維持管理に必要な費用,5481300
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,H,アールクリエイト株式会社,3012401035884,西日本拠点産業廃棄物の収集、運搬及び処分の請負（解体搬出作業）,データ消去・産廃処理等,データ消去及び廃棄物の収集・運搬及び処理のための経費,1606000
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,A,個人Ａ,9999999999999,法教育推進協議会等の出席に対する諸謝金・旅費,諸謝金・旅費,法教育推進協議会等の出席に対する諸謝金・旅費,63000
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,B,株式会社ＩＡＣＥトラベル,7010001128717,法教育推進に関わる打合せ等へ出席するための旅費,旅費,打合せ参加等に係る旅費,604000
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,C,株式会社グラブデザイン,9010001091731,法教育教材のデジタル化に関する調査研究等業務の請負,雑役務費,法教育教材のデジタル化に関する調査研究等業務の請負,7700000
レビューシート,2025,1319,女性の人権の保護・促進のための国際協力推進に係る経費（令和７年度までの予算事業名は「国連人権条約体対日理解促進プログラム関連経費」）,17,外務省,外務省,総合外交政策局,,人権人道課,女性参画推進室,,,,,,,,,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,A,国立研究開発法人新エネルギー・産業技術総合開発機構,2020005008480,基金事業の執行管理,事業費,ポスト５G情報通信システムの開発、先端半導体製造技術の開発に係る費用,649508749000
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,A,国立研究開発法人新エネルギー・産業技術総合開発機構,2020005008480,基金事業の執行管理,管理費,管理費,2056500000
レビューシート,2025,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,A,株式会社オオマツ,8070001038389,海外向け高訴求力映像の制作・配信による日本酒輸出販路拡大事業,委託費,映像制作費,10000000
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,,
